Regions du monde,Noms vernaculaires local ou francais,Nom vernaculaire anglais,combien,poid commun lb,Ou/quand,Technique de peche,photo,nom scientifique (especes),famille,ordre
1. France-mediterranee,"fiou pelan, eriphie",,1,<1,carqueiranne,au fusil sous-marin,reelle,Eriphia verrucosa spinifrons,eriphiidae,decapoda
2,Labre male celibataire,,2,<1,"bandol 2023, corse","a la canne, crevette, hamecon 4 ou 6",reelle,Symphodus tinca,labridae,labriformes
3,"Labre, tanche de mer, crenilabre paon",,1,<1,bandol 2023,"a la canne, crevette, hamecon 4 ou 6, crevette",reelle,Symphodus tinca,labridae,labriformes
4,Labre vert,,1,<1,carqueiranne,au fusil sous-marin,reelle,labrus viridis,labridae,labriformes
5,Roucaou noir - ballan wrasse,,1,1,st jean cap ferrat,"a la canne, crevette, hamecon 4 ou 6",reelle,labrus bergylta,labridae,labriformes
6,girelle royale (male),,1,<1,La croix valmer 2002,au fusil sous-marin,reelle,Coris julis,labridae,labriformes
7,girelle commune (femelle),,2,<1,"La croix-Valmer 2023, Porquerolles, Calvi",au fusil sous-marin,reelle,Coris julis,labridae,labriformes
8,Muge dore - mulet dore,,1,<1,corse Aurelien et Charles,a la canne,reelle,Chelon auratus (ex-liza aurata),mugilidae,mugiliforme
9,"rouget de roche , surmulet",,1,<1,corse Aurelien et Charles,a la canne,reelle,mullus surmuletus,mullidae,perciforme
10,Serran sarran,,3,<1,bandol 2023,"a la canne, crevette, hamecon 4 ou 6",reelle,serranus cabrilla,serranidae,perciforme
11,Serran ecriture - perche de mer,,2,<1,"La croix valmer, gn et aurelien","a la canne, crevette, hamecon 4 ou 6",reelle,serranus scriba,serranidae,perciforme
12,"Canthe, tanude - dorade grise - black seabream",,1,1,"X-Valmer 2002, Aurelien Charles",au fusil sous-marin,reelle,Spondyliosoma cantharus,sparidae,spariformes
13,Sar - white seabream,,3+,1-2,st jean cap ferrat,"a la canne, crevette, hamecon 4 ou 6",reelle,Diplodus sargus sargus,sparidae,spariformes
14,Sar pointu,,1,<1,bandol 2023,"a la canne, crevette",reelle,Diplodus puntazzo,sparidae,spariformes
15,"Blade, oblade - saddle seabream",,1,1-2,st jean cap ferrat,"a la canne, crevette",reelle,Oblada melanura,sparidae,spariformes
16,Daurade royale,,1,1-2,st jean cap ferrat,"a la canne, crevette",reelle,"Sparus aurata, Linnaeus 1758",sparidae,spariformes
17,saupe,,10+,1,"bandol 2023, La croix-Valmer, Porquerolles, Calvi","a la canne, au fusil sous-marin",reelle,Sarpa salpa,sparidae,spariformes
1. Grenadines,crabe honteux rugueux,Rough box crab,1,<1,Grenadines - dec 2011,en chasse sous-marine,reelle,calappa gallus,callapidae,decapoda
2,Carangue gros-yeux,,4,4-7,Tobago Key - 24Dec 2011 - peche en lagon le soir,"canne de fond dans le lagon de Tobago Key, appat vif",reelle,Caranx latus,carangidae,carangiforme
3,petite carangue rayee Grenadines,,3,<1,Bequie - Dec 2011 - palangrotte,a la petite canne de fond au port de Bequie,reelle,Carangoides ferdau,carangidae,carangiforme
4,marlin bleu ou blanc st vincent 80 kilos,Blue marlin,1,175,Chenal entre St Vincent et St Lucie - Dec 2011 - traine,"a la traine au gros, 5 cannes, leurre poulpe, 45min",reelle,Kajikia,istiophoridae,istiophoriforme
5,Serpentine ocellee,,1,2,St Vincent - Dec 2011 - chasse sous-marine,en chasse sous-marine,reelle,"Myrichthys ocellatus, Lesueur 1825",Ophichthidae,anguilliforme
6,merou a caudale carree,,1,3,St Vincent - Dec 2011 - chasse sous-marine,a la petite canne de fond en baie de St Vincent,reelle,Plectropomus areolatus,serranidae,perciforme
7,"baracuda Grenadines, (becune)",Great barracuda,1,3,Grenadines - Noel 2011 - traine en catamaran,"a la train au leurre, en catamaran",reelle,Sphyraena,sphyraenidae,istiophoriforme
1. Antilles-st barts,murene verte,Green moray,2+,2-4,Shell beach,"canne de fond dans le lagon de Tobago Key, appat vif",web,"Gymnothorax funebris, Ranzani, 1840",muraenidae,anguilliforme
2,poisson lezard,Lizard fish,5+,1,Lorient,"en chasse sous-marine, fusil ou lance hawaienne",web,"Synodus saurus, Linnaeus 1758",Synodontidae,aulopiforme
2bis,"Poisson lezard, sand diver, Zanoli, Mabouya","Zabnoli, Mabouya",5+,1,Lorient,"en chasse sous-marine, fusil ou lance hawaienne",reelle,Synodus intermedius,Synodontidae,aulopiforme
3,Genre d'orphie - aiguille crocodile,"Houndfish, needlefish",1,<1,shell beach aug 2023,"en chasse sous-marine, fusil ou lance hawaienne",reelle,Tylosurus crocodilus / Belonidae,belonidae,beloniformes
4,"carangue grasse, carangue jaune",Yellow jack,5+,1,plage de salines - aout 2023,canne telescopique,reelle,"carangoides bartholomaei, cuvier 1833",carangidae,carangiforme
5,carangue crevalle,Crevalle jack,20+,7-15,"Lorient - aout 2019, gros specimen","en chasse sous-marine, fusil ou lance hawaienne",reelle,"caranx hippos, Linnaeus 1766",carangidae,carangiforme
6,carangue coubali,"Hardnose-blue runner, trevallies",20+,1-3,plage de salines - aout 2023,canne telescopique,reelle,Caranx Crysos,carangidae,carangiforme
6bis,"carangue comade, carnague franche",Bar jack,10+,1-3,plage de salines - aout 2023,canne telescopique,reelle,Caranx ruber,carangidae,carangiforme
7,Permit,Round Pompano,3+,4-5,"Shell beach - Aout 2011, Aout 2023","en chasse sous-marine, fusil ou lance hawaienne",reelle,"Trachinotus falcatus Linneaus, 1758",carangidae,carangiforme
7bis,Palometa,Banner pompano,2+,4-5,"Salines - Avril 2025, appat sardine",surfcasting,reelle,Trachinotus goodei,carangidae,carangiforme
7ter,Lookdown Trevally,Juvenile African Pompano,1,1-2,"Shell beach, avril 2025","petite ligne flotteur, appat poulet",reelle,Alectis ciliaris,carangidae,carangiforme
8,seriole limon ou corronnee,Greater amberjack,2+,2-3,Lorient - Aout 2019,"en chasse sous-marine, fusil ou lance hawaienne",reelle,seriola dumerili,carangidae,carangiforme
